Prov,mun,stlmtsz8,stlmtsz5,H_SETTLEMENT,H_URBRURAL,E_RESPINT,F_INTPRIVACY,E1_LITERACY,gov_trst,dem_equ,dem_imp,dem_mil_reg,eth_death,eth_poldeath_sex,eth_sex_rel,Q106,Q107,Q108,Q109,Q110,Q112,Q120,Q143,Q158,Q159,Q160,Q161,Q162,Q177,Q178,Q179,Q180,Q181,Q182,Q183
608162,608061,5,3,1,1,1,2,1,0.362540786,0.295775963,0.70111838,0.697284434,-0.794270159,-0.466611568,0.344202394,7,8,9,2,1,7,8,1,8,8,4,3,3,3,2,1,1,1,10,1
608162,608061,5,3,1,1,1,2,1,-0.170850368,0.729017318,-0.209733428,-0.342223094,-0.939379841,0.530607452,0.424335986,4,8,5,7,4,5,5,1,3,5,5,6,5,5,5,3,6,3,8,5
608162,608061,5,3,1,1,1,1,1,-0.60227679,0.193181449,1.322433326,0.259145833,-1.003028454,-0.78322235,-1.336408561,6,5,5,1,2,8,8,2,10,10,7,5,5,1,1,1,1,1,1,1
608162,608061,5,3,1,1,1,2,1,-0.458467983,0.995396783,1.036255653,0.619667969,-0.786375819,-1.157058023,-0.814881448,8,2,1,1,1,8,7,2,9,10,1,9,7,1,1,1,1,5,3,3
608162,608064,6,3,1,1,2,1,1,-0.95194828,0.484502297,0.804772797,0.792999052,2.412761845,1.456746475,1.731732139,5,6,6,5,5,6,5,2,5,6,5,6,6,10,10,10,10,8,7,4
608162,608064,6,3,1,1,2,2,1,-0.663457219,1.008894388,1.028776585,-0.111369164,-0.891593551,0.253238905,0.319767644,9,8,5,1,1,5,5,1,2,9,2,1,1,2,5,8,8,2,5,5
608162,608064,6,3,1,1,1,1,1,-0.048837045,0.001450995,-0.247921476,-0.727653792,-0.737940344,0.312049061,-0.475571713,7,10,7,7,10,5,9,2,10,9,9,9,5,7,2,5,6,1,5,4
608162,608064,6,3,1,1,2,2,1,-0.048837045,-0.953902697,-0.700228818,-0.555616992,0.403395697,0.52896902,0.006430936,3,2,9,3,2,9,9,1,5,6,5,7,5,2,2,5,5,5,5,5
608162,608064,6,3,1,1,1,1,1,1.44216723,1.106681751,1.022263629,-0.414344291,-0.456460804,-0.576580147,1.538132646,9,10,5,5,9,9,9,1,10,10,7,6,2,7,2,2,4,9,9,9
608162,608064,6,3,1,1,1,1,1,1.526088884,0.978519054,1.409064035,0.911822449,-0.069122113,-0.32760624,1.489572629,7,8,9,3,1,10,1,2,3,2,7,9,10,5,4,7,3,8,9,10
608162,608064,6,3,1,1,2,1,1,0.586632873,-0.460593416,-0.930051149,-0.078751248,0.668858628,0.438273389,0.514701988,4,5,6,4,5,5,1,2,4,5,6,6,6,5,5,5,5,5,5,5
608162,608064,6,3,1,1,1,2,1,-0.458467983,1.575920928,0.894182539,0.729522842,-1.096867721,-1.064422404,-0.881397804,3,10,10,1,1,3,7,1,5,5,10,10,7,1,1,1,5,1,5,1
608162,608064,6,3,1,1,1,1,1,1.176417394,-0.217085336,0.421837092,0.975033832,2.494970779,1.817463727,1.59012766,7,6,7,1,1,10,10,2,6,7,4,5,5,5,8,8,8,8,5,8
608162,608064,6,3,1,1,1,1,1,0.358974705,-0.819555036,-1.073570933,-0.611398372,-0.607858247,-0.928537247,-0.916755938,9,9,2,9,9,10,8,1,7,9,4,9,9,3,2,2,2,2,2,2
608162,608064,6,3,1,1,1,2,1,-1.359760031,0.196265851,-0.676707652,1.013549804,-1.109226018,1.258613639,-0.276510893,3,2,1,1,1,8,8,3,10,10,8,8,8,5,7,1,1,1,5,1
608162,608064,6,3,1,1,2,2,1,-1.769390969,0.867485399,0.234873515,1.331272661,-1.033430538,-1.384140792,-1.393908581,1,1,1,1,1,10,1,2,10,10,10,10,10,6,10,1,10,1,1,1
608162,608064,6,3,1,1,1,1,1,-0.687945337,1.406240757,1.572979195,1.35095645,-0.921883746,-0.917090083,-0.545330688,9,10,10,3,1,3,3,1,8,10,9,9,5,3,1,1,1,1,5,1
608162,608064,6,3,1,1,1,2,1,1.753747052,0.883089246,-1.65678795,1.143313662,0.35407522,1.199366443,-0.620735643,1,1,1,1,10,7,5,1,8,5,5,10,10,10,10,10,1,1,1,1
608162,608064,6,3,1,1,1,1,1,0.093152575,0.463891062,1.068356183,-0.049981744,-0.913224887,-0.36221019,0.530690073,5,4,8,1,1,4,7,3,8,9,8,6,5,5,5,2,5,5,5,9
608162,608064,6,3,1,1,1,1,1,0.074923171,-0.892867453,-2.727589362,0.156730703,-0.918558798,-0.795581911,-1.312287611,4,1,1,1,1,5,3,2,5,1,7,1,1,1,10,1,1,1,1,1
608162,608064,6,3,1,1,1,1,1,1.955696119,-0.814911234,0.541468966,-1.664782045,-0.295562932,0.0982902,0.366112566,10,10,5,5,1,5,5,3,5,5,10,10,5,1,1,1,1,1,10,1
608162,608064,6,3,1,1,1,1,1,-1.769390969,1.789910192,1.585277718,2.062008924,-1.034042943,-1.294556573,-0.16666127,8,7,9,9,10,9,5,1,10,10,9,1,7,6,1,1,1,1,7,6
608162,608064,6,3,1,1,1,1,1,-0.685252704,-0.524420868,-1.528930935,-0.66114801,0.84374856,0.364291601,0.435179829,5,5,7,3,9,4,3,1,8,4,6,4,7,7,5,3,4,8,4,7
608162,608064,6,3,1,1,1,1,1,0.365694988,-2.450260465,-1.374790238,-1.735998536,-0.453171713,-1.077037126,-0.766498258,5,4,8,3,9,3,5,1,3,6,2,3,6,4,3,4,2,1,1,3
608162,608064,4,2,1,1,1,2,1,-0.685252704,-0.757543758,-0.187229478,-0.120771154,0.17956922,-0.062309184,0.220672907,9,8,8,8,9,6,7,1,8,7,7,8,7,4,4,4,7,7,7,3
608162,608064,4,2,1,1,1,2,1,1.118277133,0.334817345,0.878631031,-0.448892727,0.440369091,-0.250542513,-0.011062445,8,8,8,1,4,8,6,1,7,7,8,8,8,3,4,4,4,4,4,4
608162,608064,4,2,1,1,1,1,1,-0.010745376,-0.941810473,0.109754612,-0.193363165,0.93008056,0.529971376,0.210972334,4,2,5,1,6,8,6,1,9,7,10,10,7,6,10,7,6,5,1,6
608162,608064,4,2,1,1,1,1,1,1.11915058,-0.927616715,-1.007595566,-0.853790038,0.14819498,-0.302206214,-0.168412128,4,5,3,6,5,8,7,3,4,4,4,4,3,4,5,5,6,5,4,3
608162,608064,4,2,1,1,1,1,1,-0.458467983,0.246191258,1.15664385,-1.278407279,-0.249194689,-1.371634506,-0.951952231,1,2,9,2,10,2,1,3,10,1,1,1,10,1,1,1,1,1,3,1
608162,608064,4,2,1,1,1,1,1,0.852455003,-2.841137299,-1.011555088,-2.267148779,-1.109142627,-1.303069862,-0.803620455,6,7,7,7,6,6,7,3,6,5,6,6,6,6,5,6,5,7,7,1
608162,608064,4,2,1,1,1,2,1,-1.625582161,1.310624139,1.171755931,0.461830647,-1.032596265,-1.308752221,-0.759238264,7,8,9,6,9,5,9,1,6,6,6,7,5,5,5,3,3,1,5,1
608162,608064,4,2,1,1,2,2,1,0.528492613,1.649166736,0.279601112,2.022941099,0.55085873,0.449076298,0.127089428,6,6,6,5,5,5,5,1,5,6,6,5,6,6,6,7,7,6,5,4
608162,608064,4,2,1,1,1,1,1,0.852455003,-1.226339687,-0.716768859,-0.672678501,0.285994005,0.3222641,-0.277851704,9,9,5,7,8,9,5,2,8,8,8,9,8,4,4,5,4,3,3,4
608162,608064,4,2,1,1,1,1,1,1.526962331,0.265486455,-0.793388243,-0.931637777,-0.962490953,-0.078294315,0.197969219,8,7,4,1,1,10,6,3,5,9,8,3,10,9,3,1,1,1,10,1
608162,608064,5,3,1,1,1,2,1,3.474300975,-0.12852476,-1.026693219,0.958707962,-0.323612827,-0.46033522,-0.17616065,10,1,5,3,1,8,10,1,8,10,1,1,1,5,1,1,1,1,6,1
608162,608064,5,3,1,1,1,2,1,-0.458467983,1.655170632,1.227658608,2.116953643,-0.897138036,-1.364095581,-1.037294424,10,10,1,1,1,10,10,1,10,10,1,10,10,2,2,3,2,2,2,2
608162,608064,5,3,1,1,1,1,1,2.83701187,-1.056577709,0.356890872,-0.435781852,1.100445078,0.414096855,0.440239466,10,10,10,1,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
